objectClass,count
Payload,28900
Payload Fragmentation Debris,17057
Rocket Fragmentation Debris,14423
Unknown,13467
Rocket Body,8647
Payload Mission Related Object,4166
Rocket Mission Related Object,4133
Payload Debris,370
Rocket Debris,266
Other Debris,160
(none),77
Other Mission Related Object,2
